pw0	pw1	weight	features
Cytochrome c oxidase, cbb3-type	Quorum sensing PAO1	1	243.0
Aminobenzoate degradation PAO1	beta-Alanine metabolism PAO1	1	248.0
Benzoate degradation PAO1	Glycine, serine and threonine metabolism PAO1	1	248.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Oxidative phosphorylation PAO1	1	210.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Nitrogen metabolism PAO1	1	14.0
Denitrification, nitrate => nitrogen	Zinc transport system	1	122.0
Catechol ortho-cleavage, catechol => 3-oxoadipate	Peptidoglycan biosynthesis PAO1	1	277.0
Denitrification, nitrate => nitrogen	Glyoxylate and dicarboxylate metabolism PAO1	1	246.0
Amino sugar and nucleotide sugar metabolism PAO1	Zinc transport system	1	200.0
Amino sugar and nucleotide sugar metabolism PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	200.0
Phosphate transport system	Type II general secretion pathway	1	146.0
Arginine biosynthesis PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	152.0
Aminobenzoate degradation PAO1	Type III secretion system	1	197.0
Macrolide resistance, MacAB-TolC transporter	Sulfur metabolism PAO1	1	57.0
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Phenazine biosynthesis PAO1	1	169.0
Geraniol degradation PAO1	Multidrug resistance, efflux pump MexPQ-OpmE	1	159.0
Branched-chain amino acid transport system	Tyrosine metabolism PAO1	1	142.0
Oxidative phosphorylation PAO1	Sulfur metabolism PAO1	1	126.0
Aminobenzoate degradation PAO1	Fructose and mannose metabolism PAO1	1	246.0
Ribosome, bacteria	Type VI secretion system	1	192.0
Ribosome PAO1	Valine, leucine and isoleucine degradation PAO1	1	231.0
Starch and sucrose metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	1	143.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Leucine degradation, leucine => acetoacetate + acetyl-CoA	1	150.0
Dissimilatory nitrate reduction, nitrate => ammonia	Phenazine biosynthesis PAO1	1	124.0
2-Oxocarboxylic acid metabolism PAO1	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1	61.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Methane metabolism PAO1	1	284.0
Glyoxylate and dicarboxylate metabolism PAO1	Tyrosine metabolism PAO1	1	152.0
Iron complex transport system	Sulfur metabolism PAO1	1	57.0
Alanine, aspartate and glutamate metabolism PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	1	285.0
Arginine biosynthesis PAO1	Fructose and mannose metabolism PAO1	1	197.0
Nitrogen metabolism PAO1	Sulfur metabolism PAO1	1	209.0
Cytochrome c oxidase, cbb3-type	Methane metabolism PAO1	1	14.0
Styrene degradation PAO1	Type III secretion system	1	262.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Tyrosine metabolism PAO1	1	218.0
Glycerophospholipid metabolism PAO1	Phosphate transport system	1	146.0
Bacterial chemotaxis PAO1	Dissimilatory nitrate reduction, nitrate => ammonia	1	124.0
Arginine biosynthesis PAO1	Type III secretion system	1	105.0
Ribosome PAO1	Type VI secretion system	1	192.0
2-Oxocarboxylic acid metabolism PAO1	Oxidative phosphorylation PAO1	1	48.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Fructose and mannose metabolism PAO1	1	109.0
Degradation of aromatic compounds PAO1	Glycine betaine/proline transport system	1	201.0
Pentose phosphate pathway PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	250.0
Oxidative phosphorylation PAO1	Quorum sensing PAO1	1	210.0
Fructose and mannose metabolism PAO1	gamma-Hexachlorocyclohexane transport system	1	109.0
Catechol ortho-cleavage, catechol => 3-oxoadipate	Starch and sucrose metabolism PAO1	1	274.0
Glycine, serine and threonine metabolism PAO1	Sulfate-sulfur assimilation	1	34.0
Sulfur metabolism PAO1	Zinc transport system	1	57.0
Glycerolipid metabolism PAO1	Oxidative phosphorylation PAO1	1	85.0
Glyoxylate and dicarboxylate metabolism PAO1	Nitrogen metabolism PAO1	1	259.0
Amino sugar and nucleotide sugar metabolism PAO1	Pyocyanine biosynthesis, chorismate => pyocyanine	1	200.0
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Quorum sensing PAO1	1	10.0
Arginine biosynthesis PAO1	Bacterial chemotaxis PAO1	1	124.0
Aminobenzoate degradation PAO1	Type VI secretion system	1	270.0
Oxidative phosphorylation PAO1	Pyrimidine metabolism PAO1	1	19.0
Cysteine and methionine metabolism PAO1	Monobactam biosynthesis PAO1	1	212.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Sulfur metabolism PAO1	1	61.0
Benzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	1	69.0
Degradation of aromatic compounds PAO1	Valine, leucine and isoleucine degradation PAO1	1	178.0
Quorum sensing PAO1	Sulfur metabolism PAO1	1	41.0
Amino sugar and nucleotide sugar metabolism PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	1	253.0
Degradation of aromatic compounds PAO1	Quorum sensing PAO1	1	282.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Cytochrome c oxidase, cbb3-type	1	14.0
Alanine, aspartate and glutamate metabolism PAO1	Nitrogen metabolism PAO1	1	285.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Valine, leucine and isoleucine biosynthesis PAO1	1	218.0
Pyrimidine metabolism PAO1	Ribosome, bacteria	1	19.0
Glycerolipid metabolism PAO1	Phenazine biosynthesis PAO1	1	85.0
