pw0	pw1	weight	features
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	5	86.0 159.0 163.0 244.0 276.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	4	25.0 68.0 70.0 107.0
Bacterial chemotaxis PAO1	Valine, leucine and isoleucine degradation PAO1	4	45.0 123.0 124.0 200.0
Type III secretion system	Tyrosine metabolism PAO1	4	20.0 47.0 206.0 220.0
Phenazine biosynthesis PAO1	Type III secretion system	4	160.0 220.0 244.0 289.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	4	179.0 215.0 220.0 239.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	4	5.0 81.0 86.0 258.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	4	39.0 43.0 216.0 296.0
Aminobenzoate degradation PAO1	Sulfur metabolism PAO1	4	10.0 61.0 112.0 240.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Sulfur metabolism PAO1	4	8.0 38.0 240.0 241.0
Nitrogen metabolism PAO1	Phenazine biosynthesis PAO1	4	17.0 160.0 173.0 293.0
Aminobenzoate degradation PAO1	Quorum sensing PAO1	4	39.0 185.0 249.0 279.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	4	41.0 46.0 52.0 132.0
Styrene degradation PAO1	Valine, leucine and isoleucine degradation PAO1	3	119.0 127.0 244.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Type VI secretion system	3	118.0 146.0 214.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Degradation of aromatic compounds PAO1	3	163.0 244.0 284.0
Glyoxylate and dicarboxylate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	45.0 116.0 242.0
Phosphate transport system	Phosphonate and phosphinate metabolism PAO1	3	22.0 117.0 253.0
Phosphate transport system	Type II general secretion pathway	3	22.0 117.0 253.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	3	220.0 293.0 298.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Sulfur metabolism PAO1	3	8.0 38.0 241.0
Cyanoamino acid metabolism PAO1	Nitrogen metabolism PAO1	3	45.0 66.0 99.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	3	5.0 258.0 265.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Degradation of aromatic compounds PAO1	3	163.0 244.0 284.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Glycine, serine and threonine metabolism PAO1	3	69.0 81.0 258.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Quorum sensing PAO1	3	39.0 43.0 296.0
Aminobenzoate degradation PAO1	Zinc transport system	3	70.0 89.0 249.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	3	68.0 70.0 107.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	3	21.0 244.0 251.0
Phosphate transport system	Phosphonate transport system	3	22.0 117.0 253.0
Phenazine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	3	197.0 199.0 298.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	3	41.0 52.0 132.0
Sulfur metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	6.0 100.0 112.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	3	70.0 97.0 247.0
Glyoxylate and dicarboxylate metabolism PAO1	Quorum sensing PAO1	3	43.0 100.0 234.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Tyrosine metabolism PAO1	3	49.0 264.0 280.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Flagellar assembly PAO1	3	212.0 213.0 242.0
Tyrosine metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	6.0 239.0 280.0
Oxidative phosphorylation PAO1	Tyrosine metabolism PAO1	3	238.0 264.0 294.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Denitrification, nitrate => nitrogen	3	74.0 181.0 228.0
Aminobenzoate degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	112.0 147.0 288.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome PAO1	3	52.0 132.0 236.0
Aminobenzoate degradation PAO1	Tyrosine metabolism PAO1	3	20.0 21.0 272.0
Denitrification, nitrate => nitrogen	Oxidative phosphorylation PAO1	3	181.0 187.0 295.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome, bacteria	3	52.0 132.0 236.0
Nitrogen metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	45.0 235.0 244.0
Arginine biosynthesis PAO1	Quorum sensing PAO1	2	100.0 133.0
Aminobenzoate degradation PAO1	Oxidative phosphorylation PAO1	2	67.0 187.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	beta-Alanine metabolism PAO1	2	163.0 296.0
Glycine, serine and threonine metabolism PAO1	Sulfur metabolism PAO1	2	6.0 265.0
Aminobenzoate degradation PAO1	Phosphonate and phosphinate metabolism PAO1	2	209.0 279.0
Oxidative phosphorylation PAO1	Quorum sensing PAO1	2	96.0 108.0
Arginine biosynthesis PAO1	Glyoxylate and dicarboxylate metabolism PAO1	2	45.0 100.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Glycine betaine/proline transport system	2	81.0 258.0
Glycine, serine and threonine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	86.0 102.0
Glycine betaine/proline transport system	Methane metabolism PAO1	2	5.0 258.0
Arginine biosynthesis PAO1	Nitrogen metabolism PAO1	2	45.0 260.0
Bacterial chemotaxis PAO1	Nitrogen metabolism PAO1	2	18.0 45.0
Denitrification, nitrate => nitrogen	Vanadium resistance, efflux pump MexGHI-OpmD	2	6.0 72.0
Denitrification, nitrate => nitrogen	Tyrosine metabolism PAO1	2	6.0 128.0
Sulfur metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	285.0 294.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Type VI secretion system	2	8.0 231.0
Cytochrome c oxidase, cbb3-type	Quorum sensing PAO1	2	180.0 270.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Vanadium resistance, efflux pump MexGHI-OpmD	2	288.0 296.0
Citrate cycle (TCA cycle) PAO1	Citrate cycle (TCA cycle, Krebs cycle)	2	52.0 132.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type VI secretion system	2	8.0 231.0
Aminobenzoate degradation PAO1	Type II general secretion pathway	2	209.0 279.0
Aminobenzoate degradation PAO1	Nitrogen metabolism PAO1	2	112.0 244.0
Aminobenzoate degradation PAO1	beta-Alanine metabolism PAO1	2	112.0 163.0
Arginine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	2	45.0 207.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	96.0 280.0
Histidine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	216.0 229.0
Arginine biosynthesis PAO1	Cyanoamino acid metabolism PAO1	2	45.0 133.0
Flagellar assembly PAO1	Type III secretion system	2	81.0 160.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Styrene degradation PAO1	2	244.0 282.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Pentose phosphate pathway PAO1	2	44.0 113.0
Arginine and proline metabolism PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	2	23.0 78.0
Amino sugar and nucleotide sugar metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	216.0 254.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	2	83.0 116.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Type VI secretion system	2	214.0 215.0
Glycine betaine/proline transport system	Histidine metabolism PAO1	2	229.0 299.0
Sulfur metabolism PAO1	Type VI secretion system	2	8.0 112.0
Glycerophospholipid metabolism PAO1	Type II general secretion pathway	2	117.0 253.0
Sulfur metabolism PAO1	Tyrosine metabolism PAO1	2	6.0 294.0
Aminobenzoate degradation PAO1	Phosphonate transport system	2	209.0 279.0
Bacterial chemotaxis PAO1	Cyanoamino acid metabolism PAO1	2	45.0 124.0
Aminobenzoate degradation PAO1	Glycine, serine and threonine metabolism PAO1	2	86.0 214.0
Cytochrome c oxidase, cbb3-type	Phenazine biosynthesis PAO1	2	180.0 270.0
Arginine biosynthesis PAO1	Pentose phosphate pathway PAO1	2	54.0 288.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Glyoxylate and dicarboxylate metabolism PAO1	2	43.0 212.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Sulfur metabolism PAO1	2	106.0 168.0
Nitrogen metabolism PAO1	Type VI secretion system	2	112.0 214.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Macrolide resistance, MacAB-TolC transporter	2	25.0 107.0
Glyoxylate and dicarboxylate metabolism PAO1	Phenazine biosynthesis PAO1	2	100.0 107.0
Bacterial chemotaxis PAO1	Quorum sensing PAO1	2	123.0 124.0
Aminobenzoate degradation PAO1	Styrene degradation PAO1	2	187.0 244.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Nitrogen metabolism PAO1	2	74.0 214.0
Arginine biosynthesis PAO1	Phenazine biosynthesis PAO1	2	100.0 133.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Nitrogen metabolism PAO1	2	185.0 244.0
Glycerophospholipid metabolism PAO1	Phosphate transport system	2	117.0 253.0
Oxidative phosphorylation PAO1	Valine, leucine and isoleucine degradation PAO1	2	116.0 294.0
Cyanoamino acid metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	45.0 124.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Glyoxylate and dicarboxylate metabolism PAO1	2	43.0 212.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Dipeptide transport system	2	260.0 282.0
Glycine, serine and threonine metabolism PAO1	Zinc transport system	2	26.0 102.0
Arginine biosynthesis PAO1	Glycolysis / Gluconeogenesis PAO1	2	54.0 288.0
Dipeptide transport system	Valine, leucine and isoleucine degradation PAO1	2	88.0 263.0
Arginine biosynthesis PAO1	Cytochrome c oxidase, cbb3-type	2	269.0 288.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	beta-Alanine metabolism PAO1	2	163.0 296.0
Denitrification, nitrate => nitrogen	Glyoxylate and dicarboxylate metabolism PAO1	2	107.0 187.0
Propanoate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	21.0 169.0
Glycine, serine and threonine metabolism PAO1	Type VI secretion system	2	73.0 86.0
Glycerophospholipid metabolism PAO1	Phosphonate and phosphinate metabolism PAO1	2	117.0 253.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Flagellar assembly PAO1	2	212.0 242.0
Propanoate metabolism PAO1	Tyrosine metabolism PAO1	2	21.0 169.0
Aminobenzoate degradation PAO1	Putative polar amino acid transport system	2	10.0 240.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Styrene degradation PAO1	2	244.0 282.0
Degradation of aromatic compounds PAO1	Type III secretion system	2	162.0 244.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	100.0 270.0
Aminobenzoate degradation PAO1	Type VI secretion system	2	112.0 185.0
Glyoxylate and dicarboxylate metabolism PAO1	Oxidative phosphorylation PAO1	2	116.0 187.0
Glycerophospholipid metabolism PAO1	Phosphonate transport system	2	117.0 253.0
Iron complex transport system	Macrolide resistance, MacAB-TolC transporter	2	107.0 166.0
Aminobenzoate degradation PAO1	Butanoate metabolism PAO1	2	185.0 251.0
Phenazine biosynthesis PAO1	Pyocyanine biosynthesis, chorismate => pyocyanine	2	222.0 299.0
Vanadium resistance, efflux pump MexGHI-OpmD	beta-Alanine metabolism PAO1	2	112.0 296.0
Glycerolipid metabolism PAO1	Type VI secretion system	2	76.0 127.0
Oxidative phosphorylation PAO1	Pentose phosphate pathway PAO1	2	43.0 47.0
RNA degradation PAO1	Ribosome, bacteria	1	178.0
Fructose and mannose metabolism PAO1	Tyrosine metabolism PAO1	1	8.0
Benzoate degradation PAO1	Sulfate-sulfur assimilation	1	18.0
2-Oxocarboxylic acid metabolism PAO1	Ribosome, bacteria	1	3.0
Alanine, aspartate and glutamate metabolism PAO1	Glycerolipid metabolism PAO1	1	76.0
Butanoate metabolism PAO1	Phenazine biosynthesis PAO1	1	185.0
NitT/TauT family transport system	Sulfur metabolism PAO1	1	10.0
Citrate cycle (TCA cycle, Krebs cycle)	Pyrimidine metabolism PAO1	1	236.0
Denitrification, nitrate => nitrogen	Putative polar amino acid transport system	1	6.0
Aminobenzoate degradation PAO1	NitT/TauT family transport system	1	10.0
Glycine betaine/proline transport system	Tetrahydrofolate biosynthesis, GTP => THF	1	5.0
Histidine metabolism PAO1	Tyrosine metabolism PAO1	1	216.0
Phenylalanine metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	147.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Multidrug resistance, efflux pump MexPQ-OpmE	1	10.0
Fructose and mannose metabolism PAO1	Quorum sensing PAO1	1	129.0
Aminobenzoate degradation PAO1	Arginine and proline metabolism PAO1	1	147.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Methane metabolism PAO1	1	258.0
Flagellar assembly PAO1	Iron complex transport system	1	147.0
Bacterial chemotaxis PAO1	Flagellar assembly PAO1	1	200.0
Quorum sensing PAO1	Type II general secretion pathway	1	279.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Glycolysis / Gluconeogenesis PAO1	1	237.0
Arginine biosynthesis PAO1	Iron(III) transport system	1	260.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Type III secretion system	1	83.0
Methane metabolism PAO1	Ribosome, bacteria	1	9.0
Ribosome, bacteria	Spermidine/putrescine transport system	1	198.0
Type VI secretion system	Valine, leucine and isoleucine degradation PAO1	1	86.0
Arginine and proline metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	147.0
Nitrogen metabolism PAO1	beta-Alanine metabolism PAO1	1	112.0
Cytochrome c oxidase, cbb3-type	Vanadium resistance, efflux pump MexGHI-OpmD	1	270.0
Dipeptide transport system	Tyrosine metabolism PAO1	1	263.0
Cytochrome c oxidase, cbb3-type	Glycolysis / Gluconeogenesis PAO1	1	288.0
Degradation of aromatic compounds PAO1	Phenazine biosynthesis PAO1	1	244.0
Selenocompound metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	96.0
Oxidative phosphorylation PAO1	Styrene degradation PAO1	1	187.0
Putative polar amino acid transport system	Type VI secretion system	1	272.0
Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	1	236.0
Butanoate metabolism PAO1	Cyanoamino acid metabolism PAO1	1	185.0
Pentose phosphate pathway PAO1	Putative polar amino acid transport system	1	259.0
Aminobenzoate degradation PAO1	Type III secretion system	1	20.0
Aminobenzoate degradation PAO1	Glycine betaine/proline transport system	1	86.0
Flagellar assembly PAO1	Type VI secretion system	1	93.0
Glycine betaine/proline transport system	Glycolysis / Gluconeogenesis PAO1	1	5.0
Nitrogen metabolism PAO1	Styrene degradation PAO1	1	244.0
Glyoxylate and dicarboxylate metabolism PAO1	Styrene degradation PAO1	1	187.0
Cysteine and methionine metabolism PAO1	Sulfur metabolism PAO1	1	241.0
Bacterial secretion system PAO1	Type VI secretion system	1	272.0
Denitrification, nitrate => nitrogen	Nitrogen metabolism PAO1	1	74.0
Glycine betaine/proline transport system	Phenazine biosynthesis PAO1	1	299.0
Type VI secretion system	Zinc transport system	1	219.0
Alanine, aspartate and glutamate metabolism PAO1	Type VI secretion system	1	76.0
Bacterial secretion system PAO1	Putative polar amino acid transport system	1	272.0
Arginine biosynthesis PAO1	Bacterial chemotaxis PAO1	1	45.0
Glycine, serine and threonine metabolism PAO1	Tetrahydrofolate biosynthesis, GTP => THF	1	5.0
Aminobenzoate degradation PAO1	Starch and sucrose metabolism PAO1	1	149.0
Butanoate metabolism PAO1	Nitrogen metabolism PAO1	1	259.0
Flagellar assembly PAO1	Phosphonate transport system	1	164.0
Methane metabolism PAO1	Nitrogen metabolism PAO1	1	173.0
Vanadium resistance, efflux pump MexGHI-OpmD	Zinc transport system	1	219.0
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pyrimidine metabolism PAO1	1	236.0
Aminoacyl-tRNA biosynthesis, prokaryotes	Propanoate metabolism PAO1	1	230.0
Bacterial secretion system PAO1	Type III secretion system	1	267.0
Aminobenzoate degradation PAO1	Sulfate-sulfur assimilation	1	18.0
Fructose and mannose metabolism PAO1	Multidrug resistance, efflux pump MexPQ-OpmE	1	250.0
Putative polar amino acid transport system	Styrene degradation PAO1	1	127.0
Nitrogen metabolism PAO1	Type III secretion system	1	160.0
Tryptophan metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	1	21.0
Degradation of aromatic compounds PAO1	Styrene degradation PAO1	1	244.0
Methane metabolism PAO1	Tetrahydrofolate biosynthesis, GTP => THF	1	5.0
Aminobenzoate degradation PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	187.0
Aminobenzoate degradation PAO1	Denitrification, nitrate => nitrogen	1	187.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Valine, leucine and isoleucine degradation PAO1	1	197.0
NitT/TauT family transport system	Putative polar amino acid transport system	1	10.0
Glycine, serine and threonine metabolism PAO1	Putative polar amino acid transport system	1	6.0
Dipeptide transport system	Styrene degradation PAO1	1	282.0
Phenylalanine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	1	200.0
Benzoate degradation PAO1	Methane metabolism PAO1	1	4.0
Methane metabolism PAO1	Sulfur metabolism PAO1	1	265.0
Flagellar assembly PAO1	Zinc transport system	1	147.0
Glycine, serine and threonine metabolism PAO1	Glycolysis / Gluconeogenesis PAO1	1	5.0
Cyanoamino acid metabolism PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	45.0
Iron complex transport system	Tyrosine metabolism PAO1	1	183.0
Flagellar assembly PAO1	Nitrogen metabolism PAO1	1	160.0
Glycerolipid metabolism PAO1	Methane metabolism PAO1	1	127.0
Benzoate degradation PAO1	Dipeptide transport system	1	4.0
2-Oxocarboxylic acid metabolism PAO1	Ribosome PAO1	1	3.0
Cytochrome c oxidase, cbb3-type	Type VI secretion system	1	270.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Cysteine and methionine metabolism PAO1	1	241.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Valine, leucine and isoleucine degradation PAO1	1	244.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Phenazine biosynthesis PAO1	1	206.0
Glyoxylate and dicarboxylate metabolism PAO1	Nitrogen metabolism PAO1	1	45.0
Fructose and mannose metabolism PAO1	Glutamate/aspartate transport system	1	111.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Nitrogen metabolism PAO1	1	244.0
Flagellar assembly PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	212.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Pentose phosphate pathway PAO1	1	237.0
Butanoate metabolism PAO1	Quorum sensing PAO1	1	185.0
Histidine degradation, histidine => N-formiminoglutamate => glutamate	Quorum sensing PAO1	1	296.0
Pentose phosphate pathway PAO1	Tyrosine metabolism PAO1	1	76.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1	214.0
Denitrification, nitrate => nitrogen	Quorum sensing PAO1	1	74.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Phospholipid transport system	1	38.0
Methane metabolism PAO1	Phenazine biosynthesis PAO1	1	173.0
Dipeptide transport system	Pyruvate metabolism PAO1	1	205.0
Bacterial chemotaxis PAO1	Phenylalanine metabolism PAO1	1	200.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenylalanine metabolism PAO1	1	264.0
Oxidative phosphorylation PAO1	Phenylalanine metabolism PAO1	1	264.0
Glycolysis / Gluconeogenesis PAO1	Histidine metabolism PAO1	1	54.0
Phosphate transport system	Quorum sensing PAO1	1	277.0
Cytochrome c oxidase, cbb3-type	Pentose phosphate pathway PAO1	1	288.0
Denitrification, nitrate => nitrogen	Methane metabolism PAO1	1	127.0
Denitrification, nitrate => nitrogen	Glycine, serine and threonine metabolism PAO1	1	6.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Histidine degradation, histidine => N-formiminoglutamate => glutamate	1	296.0
Denitrification, nitrate => nitrogen	Phenazine biosynthesis PAO1	1	107.0
Amino sugar and nucleotide sugar metabolism PAO1	Tyrosine metabolism PAO1	1	216.0
Sulfur metabolism PAO1	beta-Alanine metabolism PAO1	1	112.0
Glycerolipid metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	76.0
Glycine, serine and threonine metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	6.0
Ribosome PAO1	Spermidine/putrescine transport system	1	198.0
Glyoxylate and dicarboxylate metabolism PAO1	Tyrosine metabolism PAO1	1	242.0
Putative polar amino acid transport system	Type III secretion system	1	95.0
Selenocompound metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	1	235.0
Glyoxylate and dicarboxylate metabolism PAO1	Type VI secretion system	1	234.0
Aminobenzoate degradation PAO1	Glycolysis / Gluconeogenesis PAO1	1	93.0
Denitrification, nitrate => nitrogen	Styrene degradation PAO1	1	187.0
Oxidative phosphorylation PAO1	Spermidine/putrescine transport system	1	198.0
Bacterial chemotaxis PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	45.0
Fructose and mannose metabolism PAO1	Phosphonate and phosphinate metabolism PAO1	1	22.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Phenazine biosynthesis PAO1	1	10.0
Citrate cycle (TCA cycle, Krebs cycle)	Oxidative phosphorylation PAO1	1	52.0
Aminobenzoate degradation PAO1	Propanoate metabolism PAO1	1	21.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	296.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Nitrogen metabolism PAO1	1	214.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Glycolysis / Gluconeogenesis PAO1	1	237.0
Glycine, serine and threonine metabolism PAO1	Styrene degradation PAO1	1	282.0
Quorum sensing PAO1	Starch and sucrose metabolism PAO1	1	46.0
Nitrogen metabolism PAO1	Sulfur metabolism PAO1	1	112.0
Valine, leucine and isoleucine degradation PAO1	Zinc transport system	1	102.0
Chlorocyclohexane and chlorobenzene degradation PAO1	Putative polar amino acid transport system	1	10.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Selenocompound metabolism PAO1	1	96.0
Benzoate degradation PAO1	Butanoate metabolism PAO1	1	251.0
Tryptophan metabolism PAO1	Tyrosine metabolism PAO1	1	21.0
Sulfur metabolism PAO1	Type III secretion system	1	95.0
Phenylalanine metabolism PAO1	Tyrosine metabolism PAO1	1	264.0
Phenazine biosynthesis PAO1	Sulfur metabolism PAO1	1	100.0
Methane metabolism PAO1	Type VI secretion system	1	127.0
Alanine, aspartate and glutamate metabolism PAO1	Glutamate/aspartate transport system	1	72.0
Type VI secretion system	beta-Lactam resistance PAO1	1	268.0
Amino sugar and nucleotide sugar metabolism PAO1	Flagellar assembly PAO1	1	13.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Putative spermidine/putrescine transport system	1	29.0
Glycine betaine/proline transport system	Valine, leucine and isoleucine degradation PAO1	1	229.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenazine biosynthesis PAO1	1	197.0
Oxidative phosphorylation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	96.0
Benzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	1	251.0
Flagellar assembly PAO1	Phenylalanine metabolism PAO1	1	200.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Glycine, serine and threonine metabolism PAO1	1	282.0
Quorum sensing PAO1	Type III secretion system	1	220.0
Benzoate degradation PAO1	Putative polar amino acid transport system	1	10.0
