pw0	pw1	weight	features
INTEGRIN1	P53 DOWNSTREAM	7	68.0 99.0 123.0 149.0 166.0 192.0 203.0
AURORA B	FOXM1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
ATR	E2F	7	19.0 29.0 39.0 44.0 78.0 115.0 158.0
BETA CATENIN NUC	WNT SIGNALING	7	49.0 60.0 71.0 177.0 223.0 233.0 261.0
E2F	FOXM1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
ATR	PLK1	7	19.0 29.0 39.0 44.0 115.0 158.0 296.0
A6B1 A6B4 INTEGRIN	RHOA REG	7	23.0 27.0 96.0 104.0 105.0 134.0 149.0
A6B1 A6B4 INTEGRIN	P53 DOWNSTREAM	7	1.0 23.0 46.0 68.0 91.0 123.0 149.0
FOXM1	PLK1	7	19.0 29.0 39.0 44.0 59.0 115.0 158.0
HIF1 TFPATHWAY	HNF3B	6	7.0 73.0 83.0 145.0 147.0 275.0
CXCR4	IL12 2PATHWAY	6	5.0 18.0 47.0 117.0 206.0 270.0
ENDOTHELIN	FGF	6	53.0 102.0 165.0 168.0 207.0 233.0
ATR	FANCONI	6	19.0 29.0 39.0 44.0 78.0 115.0
E2F	FANCONI	6	19.0 29.0 39.0 44.0 78.0 115.0
IL12 2PATHWAY	NFAT TFPATHWAY	6	18.0 47.0 138.0 175.0 201.0 262.0
IL12 2PATHWAY	INTEGRIN2	6	18.0 117.0 144.0 242.0 262.0 270.0
HEDGEHOG 2PATHWAY	WNT SIGNALING	6	26.0 71.0 96.0 207.0 236.0 261.0
FGF	HNF3B	6	56.0 73.0 89.0 102.0 145.0 147.0
BMP	FGF	6	89.0 101.0 207.0 223.0 233.0 261.0
ERBB NETWORK	HNF3B	6	16.0 42.0 83.0 85.0 108.0 159.0
BMP	WNT SIGNALING	6	207.0 223.0 233.0 261.0 284.0 290.0
IL12 2PATHWAY	TCR	6	18.0 47.0 117.0 144.0 262.0 270.0
ENDOTHELIN	EPHA FWDPATHWAY	6	42.0 52.0 108.0 154.0 230.0 247.0
BCR 5PATHWAY	INTEGRIN2	6	18.0 117.0 216.0 252.0 262.0 270.0
ATR	FOXM1	6	19.0 29.0 39.0 44.0 115.0 158.0
A6B1 A6B4 INTEGRIN	ECADHERIN STABILIZATION	6	1.0 7.0 41.0 42.0 105.0 137.0
CXCR4	TCR	6	18.0 20.0 47.0 51.0 117.0 270.0
ENDOTHELIN	WNT SIGNALING	6	165.0 173.0 177.0 207.0 233.0 247.0
ATR	AURORA B	6	19.0 29.0 39.0 44.0 115.0 158.0
IL4 2PATHWAY	INTEGRIN2	6	18.0 191.0 242.0 252.0 262.0 291.0
INTEGRIN2	TCR	6	18.0 117.0 144.0 262.0 270.0 291.0
FGF	HEDGEHOG 2PATHWAY	6	26.0 71.0 97.0 102.0 207.0 261.0
BMP	INTEGRIN1	6	32.0 89.0 101.0 203.0 207.0 223.0
INTEGRIN2	UPA UPAR	5	117.0 146.0 191.0 270.0 291.0
AURORA B	FANCONI	5	19.0 29.0 39.0 44.0 115.0
A6B1 A6B4 INTEGRIN	EPHA FWDPATHWAY	5	42.0 91.0 104.0 108.0 238.0
TAP63	WNT SIGNALING	5	26.0 49.0 65.0 130.0 139.0
FANCONI	PLK1	5	19.0 29.0 39.0 44.0 115.0
CMYB	INTEGRIN2	5	117.0 144.0 191.0 234.0 270.0
DELTA NP63	INTEGRIN1	5	49.0 54.0 68.0 139.0 192.0
IL12 2PATHWAY	IL8 CXCR2	5	18.0 47.0 117.0 262.0 270.0
ERBB NETWORK	INTEGRIN1	5	101.0 137.0 149.0 243.0 291.0
HNF3B	INTEGRIN2	5	56.0 73.0 75.0 147.0 161.0
IL4 2PATHWAY	TCR	5	18.0 47.0 114.0 262.0 291.0
GMCSF	TCR	5	18.0 47.0 117.0 270.0 291.0
CXCR4	TOLL ENDOGENOUS	5	3.0 18.0 51.0 117.0 270.0
IL12 2PATHWAY	IL4 2PATHWAY	5	18.0 47.0 187.0 242.0 262.0
FANCONI	FOXM1	5	19.0 29.0 39.0 44.0 115.0
TCR	TOLL ENDOGENOUS	5	18.0 51.0 117.0 270.0 291.0
FCER1	TCR	5	18.0 47.0 117.0 262.0 291.0
A6B1 A6B4 INTEGRIN	EPHB FWD	5	1.0 26.0 96.0 104.0 285.0
IL8 CXCR2	TCR	5	18.0 47.0 117.0 262.0 270.0
GMCSF	INTEGRIN2	5	18.0 117.0 242.0 270.0 291.0
ILK	INTEGRIN1	5	55.0 101.0 122.0 168.0 207.0
INTEGRIN1	SYNDECAN 1	5	54.0 68.0 90.0 146.0 166.0
EPHA FWDPATHWAY	HNF3B	5	42.0 89.0 104.0 108.0 154.0
INTEGRIN1	TXA2PATHWAY	5	122.0 136.0 146.0 207.0 291.0
AVB3 INTEGRIN	FGF	5	60.0 71.0 101.0 207.0 223.0
SYNDECAN 1	WNT SIGNALING	5	54.0 68.0 96.0 166.0 261.0
HNF3B	INTEGRIN1	5	56.0 63.0 89.0 256.0 283.0
GMCSF	IL12 2PATHWAY	5	18.0 47.0 117.0 242.0 270.0
HNF3A	INTEGRIN2	5	56.0 73.0 75.0 147.0 161.0
BCR 5PATHWAY	TCR	5	18.0 114.0 117.0 262.0 270.0
A6B1 A6B4 INTEGRIN	DELTA NP63	5	54.0 68.0 91.0 139.0 281.0
INTEGRIN2	TOLL ENDOGENOUS	5	18.0 117.0 191.0 270.0 291.0
HEDGEHOG 2PATHWAY	INTEGRIN1	5	26.0 71.0 146.0 207.0 236.0
FCER1	IL12 2PATHWAY	5	18.0 47.0 117.0 206.0 262.0
IL12 2PATHWAY	TXA2PATHWAY	4	18.0 47.0 187.0 201.0
ERBB NETWORK	NFAT TFPATHWAY	4	101.0 138.0 175.0 288.0
FGF	ILK	4	53.0 101.0 168.0 207.0
INTEGRIN1	UPA UPAR	4	99.0 146.0 223.0 291.0
ANGIOPOIETIN RECEPTOR	INTEGRIN1	4	5.0 32.0 56.0 283.0
DELTA NP63	TAP63	4	49.0 91.0 139.0 254.0
AP1	P53 DOWNSTREAM	4	99.0 138.0 175.0 206.0
IL12 2PATHWAY	P53 DOWNSTREAM	4	138.0 166.0 175.0 206.0
GMCSF	IL8 CXCR2	4	18.0 47.0 117.0 270.0
TOLL ENDOGENOUS	UPA UPAR	4	117.0 191.0 270.0 291.0
BCR 5PATHWAY	IL4 2PATHWAY	4	18.0 114.0 252.0 262.0
CXCR4	IL8 CXCR2	4	18.0 47.0 117.0 270.0
AP1	ERBB NETWORK	4	137.0 138.0 175.0 288.0
CXCR4	GMCSF	4	18.0 47.0 117.0 270.0
INTEGRIN1	VEGFR1 2	4	3.0 5.0 32.0 48.0
ERBB NETWORK	HNF3A	4	42.0 81.0 108.0 159.0
IL8 CXCR2	INTEGRIN2	4	18.0 117.0 262.0 270.0
FCER1	INTEGRIN2	4	18.0 117.0 262.0 291.0
AVB3 INTEGRIN	WNT SIGNALING	4	60.0 71.0 207.0 223.0
ENDOTHELIN	ILK	4	53.0 122.0 168.0 207.0
EPHA FWDPATHWAY	ERBB4	4	104.0 141.0 212.0 247.0
A6B1 A6B4 INTEGRIN	NECTIN	4	1.0 27.0 43.0 91.0
BCR 5PATHWAY	IL12 2PATHWAY	4	18.0 117.0 262.0 270.0
HNF3A	SYNDECAN 1	4	42.0 81.0 90.0 183.0
FCER1	IL4 2PATHWAY	4	18.0 47.0 262.0 291.0
DELTA NP63	WNT SIGNALING	4	49.0 54.0 68.0 139.0
INTEGRIN1	SHP2	4	122.0 132.0 136.0 207.0
FCER1	IL8 CXCR2	4	18.0 47.0 117.0 262.0
DELTA NP63	SYNDECAN 1	4	54.0 68.0 82.0 281.0
ENDOTHELIN	HNF3A	4	42.0 108.0 173.0 256.0
FGF	HNF3A	4	56.0 73.0 119.0 147.0
IL23	IL4 2PATHWAY	4	47.0 187.0 242.0 291.0
FCER1	GMCSF	4	18.0 47.0 117.0 291.0
AVB3 INTEGRIN	ILK	4	55.0 101.0 122.0 207.0
BETA CATENIN NUC	HEDGEHOG 2PATHWAY	4	71.0 97.0 146.0 261.0
BMP	EPHA FWDPATHWAY	4	89.0 225.0 230.0 261.0
INTEGRIN1	INTEGRIN3	4	55.0 99.0 146.0 149.0
CXCR4	FCER1	4	18.0 47.0 117.0 206.0
HEDGEHOG 2PATHWAY	SYNDECAN 1	4	96.0 102.0 146.0 261.0
GMCSF	TOLL ENDOGENOUS	4	18.0 117.0 270.0 291.0
TCR	TXA2PATHWAY	4	18.0 20.0 47.0 291.0
FCER1	INTEGRIN1	4	60.0 90.0 132.0 291.0
IL4 2PATHWAY	TXA2PATHWAY	4	18.0 47.0 187.0 291.0
EPHA FWDPATHWAY	TAP63	4	91.0 104.0 238.0 254.0
ATF2	ERBB NETWORK	4	138.0 149.0 175.0 288.0
FCER1	TXA2PATHWAY	4	18.0 47.0 142.0 291.0
AVB3 INTEGRIN	BMP	4	101.0 207.0 223.0 230.0
GMCSF	IL4 2PATHWAY	4	18.0 47.0 242.0 291.0
ENDOTHELIN	TXA2PATHWAY	4	83.0 122.0 136.0 207.0
IL4 2PATHWAY	TOLL ENDOGENOUS	4	18.0 187.0 191.0 291.0
BETA CATENIN NUC	BMP	4	89.0 223.0 233.0 261.0
SHP2	TXA2PATHWAY	4	83.0 122.0 136.0 207.0
AVB3 INTEGRIN	BETA CATENIN NUC	4	60.0 71.0 146.0 223.0
ATF2	P53 DOWNSTREAM	4	138.0 149.0 175.0 192.0
BCR 5PATHWAY	IL8 CXCR2	4	18.0 117.0 262.0 270.0
EPHA FWDPATHWAY	ERBB NETWORK	4	42.0 108.0 141.0 238.0
FGF	INTEGRIN2	4	56.0 73.0 97.0 147.0
ENDOTHELIN	SHP2	4	83.0 122.0 136.0 207.0
FGF	HIF1 TFPATHWAY	4	73.0 119.0 145.0 147.0
A6B1 A6B4 INTEGRIN	ENDOTHELIN	4	42.0 108.0 151.0 198.0
IL12 2PATHWAY	TOLL ENDOGENOUS	4	18.0 117.0 187.0 270.0
ATR	BARD1	3	29.0 78.0 115.0
BARD1	FANCONI	3	29.0 78.0 115.0
BETA CATENIN NUC	UPA UPAR	3	38.0 146.0 223.0
INTEGRIN CS	INTEGRIN1	3	68.0 149.0 166.0
A6B1 A6B4 INTEGRIN	FGF	3	26.0 93.0 101.0
AP1	NFAT TFPATHWAY	3	138.0 175.0 288.0
A6B1 A6B4 INTEGRIN	LYSOPHOSPHOLIPID	3	1.0 43.0 218.0
HIF1 TFPATHWAY	INTEGRIN1	3	99.0 132.0 177.0
ENDOTHELIN	REELIN	3	122.0 168.0 198.0
A6B1 A6B4 INTEGRIN	AJDISS 2PATHWAY	3	190.0 238.0 239.0
CXCR4	TXA2PATHWAY	3	18.0 20.0 47.0
FAK	PDGFRB	3	0.0 15.0 32.0
BCR 5PATHWAY	GMCSF	3	18.0 117.0 270.0
GLYPICAN 1PATHWAY	INTEGRIN1	3	132.0 207.0 265.0
ERBB4	TAP63	3	104.0 130.0 274.0
HIF1 TFPATHWAY	INTEGRIN2	3	73.0 144.0 147.0
HNF3B	UPA UPAR	3	38.0 85.0 152.0
BMP	ENDOTHELIN	3	207.0 230.0 233.0
IL4 2PATHWAY	IL8 CXCR2	3	18.0 47.0 262.0
CERAMIDE	HDAC CLASSIII	3	51.0 105.0 178.0
HNF3A	WNT SIGNALING	3	130.0 173.0 284.0
ATF2	NFAT TFPATHWAY	3	138.0 175.0 288.0
INTEGRIN1	INTEGRIN2	3	56.0 146.0 291.0
NFAT TFPATHWAY	TCR	3	18.0 47.0 262.0
CXCR4	INTEGRIN1	3	3.0 5.0 55.0
EPHA FWDPATHWAY	SYNDECAN 1	3	42.0 225.0 261.0
EPHB FWD	WNT SIGNALING	3	26.0 60.0 96.0
A6B1 A6B4 INTEGRIN	BMP	3	101.0 284.0 290.0
AP1	ATF2	3	138.0 175.0 288.0
HIV NEF	IL12 2PATHWAY	3	138.0 166.0 187.0
AP1	HIF1 TFPATHWAY	3	99.0 175.0 206.0
ECADHERIN STABILIZATION	HNF3B	3	7.0 41.0 42.0
TOLL ENDOGENOUS	TXA2PATHWAY	3	18.0 187.0 291.0
GMCSF	IL27	3	18.0 47.0 242.0
CMYB	TOLL ENDOGENOUS	3	117.0 191.0 270.0
HIF1 TFPATHWAY	IL12 2PATHWAY	3	144.0 175.0 206.0
BCR 5PATHWAY	CXCR4	3	18.0 117.0 270.0
FCER1	RAC1	3	117.0 142.0 291.0
ATF2	INTEGRIN1	3	60.0 149.0 192.0
IL4 2PATHWAY	NFAT TFPATHWAY	3	18.0 47.0 262.0
HIF1 TFPATHWAY	P53 DOWNSTREAM	3	99.0 175.0 206.0
BETA CATENIN NUC	ENDOTHELIN	3	168.0 177.0 233.0
FOXO	VEGFR1 2	3	0.0 14.0 32.0
FOXO	PDGFRB	3	0.0 14.0 32.0
AURORA A	FOXM1	3	15.0 29.0 115.0
ENDOTHELIN	ERBB NETWORK	3	42.0 83.0 108.0
IL8 CXCR2	TOLL ENDOGENOUS	3	18.0 117.0 270.0
ATF2	IL12 2PATHWAY	3	138.0 175.0 187.0
DELTA NP63	P53 DOWNSTREAM	3	68.0 91.0 192.0
IL23	TXA2PATHWAY	3	47.0 187.0 291.0
ERBB NETWORK	P53 DOWNSTREAM	3	138.0 149.0 175.0
HIF1 TFPATHWAY	SHP2	3	83.0 132.0 147.0
INTEGRIN2	TXA2PATHWAY	3	18.0 146.0 291.0
INTEGRIN A9B1	INTEGRIN1	3	99.0 132.0 291.0
BCR 5PATHWAY	TOLL ENDOGENOUS	3	18.0 117.0 270.0
BMP	FAK	3	15.0 32.0 203.0
INTEGRIN1	TAP63	3	26.0 49.0 139.0
AMB2 NEUTROPHILS	FCER1	3	47.0 117.0 291.0
FAK	INTEGRIN1	3	3.0 32.0 203.0
AMB2 NEUTROPHILS	GMCSF	3	47.0 117.0 291.0
HNF3B	IL6 7	3	7.0 103.0 161.0
BETA CATENIN NUC	SYNDECAN 4	3	97.0 146.0 168.0
HIF1 TFPATHWAY	HNF3A	3	73.0 119.0 147.0
ENDOTHELIN	HIF1 TFPATHWAY	3	83.0 151.0 177.0
IL12 2PATHWAY	IL23	3	47.0 187.0 242.0
FAK	SMAD2 3NUCLEAR	3	0.0 3.0 15.0
INTEGRIN CS	P53 DOWNSTREAM	3	68.0 149.0 166.0
NFAT TFPATHWAY	TXA2PATHWAY	3	18.0 47.0 201.0
BMP	HEDGEHOG 2PATHWAY	3	157.0 207.0 261.0
HDAC CLASSI	PDGFRB	3	10.0 14.0 15.0
INTEGRIN1	NOTCH	3	60.0 68.0 136.0
AP1	IL12 2PATHWAY	3	138.0 175.0 206.0
AVB3 INTEGRIN	TXA2PATHWAY	3	122.0 146.0 207.0
ERBB NETWORK	UPA UPAR	3	85.0 288.0 291.0
AMB2 NEUTROPHILS	TCR	3	47.0 117.0 291.0
CXCR4	INTEGRIN2	3	18.0 117.0 270.0
BCR 5PATHWAY	FCER1	3	18.0 117.0 262.0
HEDGEHOG 2PATHWAY	RET	3	97.0 157.0 207.0
PDGFRB	VEGFR1 2	3	0.0 14.0 32.0
INTEGRIN1	SYNDECAN 4	3	146.0 168.0 203.0
IL27	IL4 2PATHWAY	3	18.0 47.0 242.0
HNF3A	INTEGRIN1	3	56.0 90.0 256.0
AVB3 INTEGRIN	SHP2	3	122.0 132.0 207.0
CD40	IL4 2PATHWAY	3	108.0 114.0 187.0
IL12 2PATHWAY	IL27	3	18.0 47.0 242.0
CMYB	IL12 2PATHWAY	3	117.0 144.0 270.0
GMCSF	IL23	3	47.0 242.0 291.0
GMCSF	UPA UPAR	3	117.0 270.0 291.0
FGF	HES HEY	3	26.0 31.0 233.0
CMYB	UPA UPAR	3	117.0 191.0 270.0
ECADHERIN STABILIZATION	ERBB NETWORK	3	42.0 137.0 138.0
BARD1	E2F	3	29.0 78.0 115.0
GMCSF	TXA2PATHWAY	3	18.0 47.0 291.0
FCER1	TOLL ENDOGENOUS	3	18.0 117.0 291.0
IL8 CXCR2	NFAT TFPATHWAY	3	18.0 47.0 262.0
A6B1 A6B4 INTEGRIN	INTEGRIN CS	3	68.0 134.0 149.0
A6B1 A6B4 INTEGRIN	AP1	3	54.0 137.0 160.0
CMYB	TCR	3	117.0 144.0 270.0
TCR	UPA UPAR	3	117.0 270.0 291.0
AVB3 INTEGRIN	HEDGEHOG 2PATHWAY	3	71.0 146.0 207.0
AP1	INTEGRIN1	3	54.0 99.0 137.0
FAK	VEGFR1 2	3	0.0 3.0 32.0
INTEGRIN2	RAC1	3	117.0 252.0 291.0
INTEGRIN1	RHOA REG	3	32.0 136.0 149.0
FGF	RET	3	97.0 119.0 207.0
AVB3 INTEGRIN	ENDOTHELIN	3	122.0 207.0 230.0
P53 DOWNSTREAM	TAP63	3	23.0 46.0 91.0
FCER1	NFAT TFPATHWAY	3	18.0 47.0 262.0
BETA CATENIN NUC	HNF3B	3	9.0 38.0 89.0
LYSOPHOSPHOLIPID	NECTIN	2	1.0 43.0
A6B1 A6B4 INTEGRIN	ERA GENOMIC	2	66.0 239.0
RHOA REG	TAP63	2	23.0 104.0
IL12 2PATHWAY	INTEGRIN1	2	5.0 166.0
ECADHERIN STABILIZATION	P53 DOWNSTREAM	2	1.0 138.0
FGF	SHP2	2	147.0 207.0
ATR	AURORA A	2	29.0 115.0
AVB3 INTEGRIN	FCER1	2	60.0 132.0
ERBB NETWORK	HES HEY	2	34.0 159.0
RAC1 REG	TCR	2	114.0 117.0
ERBB NETWORK	IL12 2PATHWAY	2	138.0 175.0
RAC1	TXA2PATHWAY	2	142.0 291.0
ATM	E2F	2	19.0 115.0
EPHB FWD	HEDGEHOG 2PATHWAY	2	26.0 96.0
CXCR3	IL12 2PATHWAY	2	18.0 47.0
AURORA A	FANCONI	2	29.0 115.0
AVB3 INTEGRIN	GLYPICAN 1PATHWAY	2	132.0 207.0
CXCR3	TCR	2	18.0 47.0
BCR 5PATHWAY	RAC1 REG	2	114.0 117.0
FCER1	SYNDECAN 1	2	90.0 262.0
A6B1 A6B4 INTEGRIN	HEDGEHOG 2PATHWAY	2	26.0 96.0
ATF2	HIV NEF	2	138.0 187.0
ENDOTHELIN	HEDGEHOG 2PATHWAY	2	102.0 207.0
ECADHERIN STABILIZATION	ERBB1 DOWNSTREAM	2	1.0 138.0
AP1	ECADHERIN STABILIZATION	2	137.0 138.0
ERBB1 DOWNSTREAM	FANCONI	2	29.0 115.0
BMP	SYNDECAN 1	2	225.0 261.0
IL8 CXCR2	UPA UPAR	2	117.0 270.0
MYC ACTIV	TCPTP	2	69.0 95.0
EPHB FWD	FGF	2	26.0 60.0
IL27	INTEGRIN2	2	18.0 242.0
CMYB	GMCSF	2	117.0 270.0
INTEGRIN2	NFAT TFPATHWAY	2	18.0 262.0
A6B1 A6B4 INTEGRIN	ATF2	2	149.0 219.0
FGF	TAP63	2	26.0 274.0
ANGIOPOIETIN RECEPTOR	HNF3B	2	56.0 283.0
IL12 2PATHWAY	SYNDECAN 1	2	166.0 262.0
INTEGRIN CS	WNT SIGNALING	2	68.0 166.0
EPHA FWDPATHWAY	NECTIN	2	91.0 247.0
CD8 TCR DOWNSTREAM	FCER1	2	18.0 47.0
IL4 2PATHWAY	RAC1	2	252.0 291.0
BCR 5PATHWAY	NFAT TFPATHWAY	2	18.0 262.0
IL23	IL27	2	47.0 242.0
FGF	RXR VDR	2	56.0 168.0
EPHB FWD	TAP63	2	26.0 104.0
PDGFRB	SMAD2 3NUCLEAR	2	0.0 15.0
ANGIOPOIETIN RECEPTOR	VEGFR1 2	2	5.0 32.0
TXA2PATHWAY	UPA UPAR	2	146.0 291.0
HEDGEHOG 2PATHWAY	LYSOPHOSPHOLIPID	2	97.0 157.0
CXCR4	IL6 7	2	51.0 206.0
ATM	PLK1	2	19.0 115.0
IL27	NFAT TFPATHWAY	2	18.0 47.0
NECTIN	P53 DOWNSTREAM	2	1.0 91.0
GMCSF	NFAT TFPATHWAY	2	18.0 47.0
AMB2 NEUTROPHILS	INTEGRIN2	2	117.0 291.0
BETA CATENIN NUC	EPHA FWDPATHWAY	2	89.0 261.0
FGF	REELIN	2	168.0 210.0
INTEGRIN2	SYNDECAN 1	2	146.0 262.0
P53 DOWNSTREAM	RHOA	2	1.0 114.0
EPHRINB REV	INTEGRIN1	2	136.0 277.0
FGF	WNT NONCANONICAL	2	168.0 210.0
AURORA A	PLK1	2	29.0 115.0
BCR 5PATHWAY	UPA UPAR	2	117.0 270.0
CXCR4	IL4 2PATHWAY	2	18.0 47.0
INTEGRIN A9B1	UPA UPAR	2	99.0 291.0
ERBB1 DOWNSTREAM	PLK1	2	29.0 115.0
AP1	FCER1	2	142.0 206.0
EPHB FWD	INTEGRIN1	2	26.0 60.0
NOTCH	WNT SIGNALING	2	60.0 68.0
A6B1 A6B4 INTEGRIN	HDAC CLASSIII	2	105.0 219.0
BETA CATENIN NUC	REELIN	2	43.0 168.0
CD8 TCR DOWNSTREAM	TCR	2	18.0 47.0
HIV NEF	TOLL ENDOGENOUS	2	112.0 187.0
INTEGRIN1	REELIN	2	122.0 168.0
HDAC CLASSI	P53 REGULATION	2	15.0 184.0
ERBB1 DOWNSTREAM	FOXM1	2	29.0 115.0
AURORA A	BARD1	2	29.0 115.0
BCR 5PATHWAY	CMYB	2	117.0 270.0
ERBB NETWORK	HIF1 TFPATHWAY	2	83.0 175.0
RB 1PATHWAY	SMAD2 3NUCLEAR	2	0.0 15.0
ERBB4	HNF3B	2	102.0 104.0
CD8 TCR DOWNSTREAM	NFAT TFPATHWAY	2	18.0 47.0
A6B1 A6B4 INTEGRIN	INTEGRIN3	2	41.0 149.0
AURORA B	ERBB1 DOWNSTREAM	2	29.0 115.0
CXCR4	VEGFR1 2	2	3.0 5.0
ILK	SHP2	2	122.0 207.0
PDGFRB	TCR	2	51.0 114.0
CXCR4	NFAT TFPATHWAY	2	18.0 47.0
FCER1	HIF1 TFPATHWAY	2	132.0 206.0
ECADHERIN STABILIZATION	NFAT 3PATHWAY	2	138.0 181.0
AURORA B	MYC ACTIV	2	29.0 279.0
CXCR4	THROMBIN PAR1	2	51.0 55.0
AURORA A	ERBB1 DOWNSTREAM	2	29.0 115.0
ATM	ATR	2	19.0 115.0
CXCR3	NFAT TFPATHWAY	2	18.0 47.0
A6B1 A6B4 INTEGRIN	LIS1	2	1.0 116.0
AMB2 NEUTROPHILS	RAC1	2	117.0 291.0
ATF2	FGF	2	60.0 192.0
AVB3 INTEGRIN	UPA UPAR	2	146.0 223.0
CMYB	IL8 CXCR2	2	117.0 270.0
AP1	UPA UPAR	2	99.0 288.0
IL27	TCR	2	18.0 47.0
BMP	ILK	2	101.0 207.0
AMB2 NEUTROPHILS	TXA2PATHWAY	2	47.0 291.0
HNF3B	SYNDECAN 1	2	42.0 102.0
HES HEY	WNT SIGNALING	2	26.0 233.0
AMB2 NEUTROPHILS	TOLL ENDOGENOUS	2	117.0 291.0
FGF	SYNDECAN 1	2	102.0 261.0
ECADHERIN STABILIZATION	HNF3A	2	41.0 42.0
A6B1 A6B4 INTEGRIN	HES HEY	2	26.0 27.0
ERBB1 DOWNSTREAM	P53 DOWNSTREAM	2	1.0 138.0
HIF1 TFPATHWAY	IL6 7	2	7.0 206.0
BCR 5PATHWAY	RAC1	2	117.0 252.0
LYSOPHOSPHOLIPID	REELIN	2	2.0 43.0
CXCR3	TXA2PATHWAY	2	18.0 47.0
CD8 TCR DOWNSTREAM	IL27	2	18.0 47.0
DELTA NP63	EPHA FWDPATHWAY	2	91.0 254.0
AMB2 NEUTROPHILS	IL23	2	47.0 291.0
ANGIOPOIETIN RECEPTOR	RXR VDR	2	56.0 235.0
ILK	REELIN	2	122.0 168.0
ENDOTHELIN	ERBB4	2	102.0 247.0
IL4 2PATHWAY	UPA UPAR	2	191.0 291.0
AJDISS 2PATHWAY	FGF	2	71.0 165.0
ATR	ERBB1 DOWNSTREAM	2	29.0 115.0
AMB2 NEUTROPHILS	CXCR4	2	47.0 117.0
FCER1	INTEGRIN A9B1	2	132.0 291.0
HNF3B	RHOA REG	2	27.0 104.0
FAK	RB 1PATHWAY	2	0.0 15.0
FCER1	IL23	2	47.0 291.0
EPHA FWDPATHWAY	HIF1 TFPATHWAY	2	86.0 212.0
SMAD2 3NUCLEAR	VEGFR1 2	2	0.0 3.0
ERBB1 DOWNSTREAM	RHOA	2	1.0 221.0
INTEGRIN1	RXR VDR	2	56.0 168.0
HEDGEHOG 2PATHWAY	INTEGRIN2	2	97.0 146.0
BARD1	FOXM1	2	29.0 115.0
IL27	TXA2PATHWAY	2	18.0 47.0
CD8 TCR	TXA2PATHWAY	2	201.0 291.0
ATM	FANCONI	2	19.0 115.0
IL12 2PATHWAY	UPA UPAR	2	117.0 270.0
GLYPICAN 1PATHWAY	SHP2	2	132.0 207.0
ILK	TXA2PATHWAY	2	122.0 207.0
CD8 TCR DOWNSTREAM	IL4 2PATHWAY	2	18.0 47.0
CXCR4	UPA UPAR	2	117.0 270.0
AMB2 NEUTROPHILS	UPA UPAR	2	117.0 291.0
CD8 TCR DOWNSTREAM	TXA2PATHWAY	2	18.0 47.0
INTEGRIN1	S1P S1P3	2	55.0 136.0
HNF3B	SHP2	2	83.0 147.0
CXCR3	IL27	2	18.0 47.0
RAC1	TOLL ENDOGENOUS	2	117.0 291.0
AURORA A	E2F	2	29.0 115.0
PDGFRB	RB 1PATHWAY	2	0.0 15.0
EPHB FWD	RHOA REG	2	96.0 104.0
P53 DOWNSTREAM	RHOA REG	2	23.0 149.0
CXCR3	FCER1	2	18.0 47.0
FAK	P53 DOWNSTREAM	2	1.0 203.0
