pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type VI secretion system	3	85.0 227.0 290.0
Cytochrome c oxidase, cbb3-type	Quorum sensing PAO1	3	146.0 149.0 216.0
Bacterial chemotaxis PAO1	Ribosome, bacteria	3	162.0 232.0 294.0
Pentose phosphate pathway PAO1	Propanoate metabolism PAO1	3	61.0 119.0 175.0
Pentose phosphate pathway PAO1	Type VI secretion system	3	175.0 284.0 290.0
Ribosome, bacteria	Tyrosine metabolism PAO1	3	32.0 247.0 287.0
Arginine biosynthesis PAO1	Phenazine biosynthesis PAO1	3	255.0 273.0 291.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	3	62.0 159.0 162.0
Alanine, aspartate and glutamate metabolism PAO1	Glycine, serine and threonine metabolism PAO1	3	105.0 225.0 282.0
Alanine, aspartate and glutamate metabolism PAO1	Oxidative phosphorylation PAO1	3	105.0 220.0 282.0
Glycine, serine and threonine metabolism PAO1	Tyrosine metabolism PAO1	3	105.0 151.0 224.0
Cyanoamino acid metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	7.0 158.0 219.0
One carbon pool by folate PAO1	Pentose phosphate pathway PAO1	3	161.0 224.0 297.0
Alanine, aspartate and glutamate metabolism PAO1	Glutamate/aspartate transport system	3	199.0 220.0 252.0
Bacterial chemotaxis PAO1	Pentose phosphate pathway PAO1	3	241.0 248.0 294.0
Phosphate transport system	Phosphonate and phosphinate metabolism PAO1	3	28.0 214.0 237.0
Purine metabolism PAO1	RNA degradation PAO1	3	0.0 21.0 31.0
Hemophore/metalloprotease transport system	Type VI secretion system	3	44.0 175.0 225.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Citrate cycle (TCA cycle) PAO1	3	21.0 50.0 290.0
Bacterial chemotaxis PAO1	Oxidative phosphorylation PAO1	3	9.0 241.0 294.0
Phosphate transport system	Quorum sensing PAO1	3	28.0 121.0 214.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Valine, leucine and isoleucine degradation PAO1	3	151.0 227.0 261.0
Glycine, serine and threonine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	105.0 151.0 227.0
Flagellar assembly PAO1	Pentose phosphate pathway PAO1	3	241.0 248.0 294.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	3	121.0 151.0 261.0
Glycolysis / Gluconeogenesis PAO1	Quorum sensing PAO1	3	57.0 158.0 259.0
Flagellar assembly PAO1	Quorum sensing PAO1	3	191.0 241.0 294.0
Aminoacyl-tRNA biosynthesis, prokaryotes	Pentose phosphate pathway PAO1	3	84.0 294.0 297.0
Nitrogen metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	82.0 201.0 259.0
Oxidative phosphorylation PAO1	Type VI secretion system	3	5.0 201.0 220.0
Bacterial secretion system PAO1	Ribosome, bacteria	3	12.0 78.0 117.0
Ribosome, bacteria	Spermidine/putrescine transport system	3	117.0 169.0 285.0
Glycine, serine and threonine metabolism PAO1	Pentose phosphate pathway PAO1	3	15.0 224.0 297.0
Flagellar assembly PAO1	Peptidoglycan biosynthesis PAO1	3	5.0 41.0 189.0
Glycolysis / Gluconeogenesis PAO1	Purine metabolism PAO1	3	0.0 6.0 59.0
Flagellar assembly PAO1	Ribosome PAO1	3	5.0 130.0 294.0
2-Oxocarboxylic acid metabolism PAO1	Glycolysis / Gluconeogenesis PAO1	3	0.0 6.0 59.0
Peptidoglycan biosynthesis PAO1	Type VI secretion system	3	5.0 258.0 280.0
Fatty acid biosynthesis PAO1	Purine metabolism PAO1	3	1.0 31.0 150.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Oxidative phosphorylation PAO1	3	21.0 282.0 293.0
Citrate cycle (TCA cycle) PAO1	Flagellar assembly PAO1	3	5.0 50.0 294.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Pentose phosphate pathway PAO1	3	210.0 230.0 266.0
Glutamate/aspartate transport system	Putrescine transport system	3	128.0 199.0 255.0
Nitrogen metabolism PAO1	Quorum sensing PAO1	3	70.0 201.0 259.0
Ribosome, bacteria	Zinc transport system	3	8.0 101.0 251.0
Arginine biosynthesis PAO1	Type III secretion system	3	119.0 175.0 206.0
Arginine biosynthesis PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	3	105.0 128.0 266.0
Alanine, aspartate and glutamate metabolism PAO1	Arginine biosynthesis PAO1	3	105.0 206.0 291.0
Lipopolysaccharide biosynthesis PAO1	Oxidative phosphorylation PAO1	3	6.0 260.0 293.0
Arginine and proline metabolism PAO1	Glutamate/aspartate transport system	3	102.0 128.0 255.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	3	62.0 159.0 282.0
Arginine biosynthesis PAO1	Flagellar assembly PAO1	3	24.0 248.0 292.0
NitT/TauT family transport system	Sulfur metabolism PAO1	3	182.0 280.0 299.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Tyrosine metabolism PAO1	3	85.0 121.0 151.0
Fatty acid biosynthesis PAO1	Ribosome PAO1	3	31.0 150.0 294.0
Iron complex transport system	Ribosome, bacteria	3	8.0 101.0 251.0
Arginine biosynthesis PAO1	Glycine, serine and threonine metabolism PAO1	3	15.0 105.0 151.0
Cyanoamino acid metabolism PAO1	Nitrogen metabolism PAO1	3	70.0 152.0 259.0
Glyoxylate and dicarboxylate metabolism PAO1	Tryptophan metabolism PAO1	3	163.0 201.0 292.0
Arginine biosynthesis PAO1	Oxidative phosphorylation PAO1	3	9.0 105.0 273.0
Cyanoamino acid metabolism PAO1	Oxidative phosphorylation PAO1	3	163.0 241.0 282.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome PAO1	3	8.0 54.0 150.0
Iron complex transport system	Zinc transport system	3	8.0 101.0 251.0
Pyrimidine metabolism PAO1	Quorum sensing PAO1	3	111.0 256.0 294.0
Glyoxylate and dicarboxylate metabolism PAO1	Styrene degradation PAO1	3	190.0 201.0 295.0
Alanine, aspartate and glutamate metabolism PAO1	Tyrosine metabolism PAO1	3	105.0 173.0 252.0
Citrate cycle (TCA cycle) PAO1	Glycolysis / Gluconeogenesis PAO1	3	0.0 6.0 59.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	3	39.0 128.0 153.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome, bacteria	3	8.0 54.0 150.0
Valine, leucine and isoleucine degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	230.0 261.0 295.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Glycine, serine and threonine metabolism PAO1	3	151.0 227.0 282.0
Phenazine biosynthesis PAO1	Type VI secretion system	3	73.0 149.0 291.0
Alanine, aspartate and glutamate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	105.0 173.0 291.0
Oxidative phosphorylation PAO1	Tyrosine metabolism PAO1	2	105.0 163.0
Bacterial chemotaxis PAO1	Quorum sensing PAO1	2	241.0 294.0
Glycine, serine and threonine metabolism PAO1	Zinc transport system	2	159.0 225.0
Citrate cycle (TCA cycle) PAO1	Pyruvate metabolism PAO1	2	221.0 233.0
Butanoate metabolism PAO1	Cyanoamino acid metabolism PAO1	2	158.0 219.0
Bacterial chemotaxis PAO1	Peptidoglycan biosynthesis PAO1	2	29.0 41.0
Mismatch repair PAO1	Purine metabolism PAO1	2	15.0 150.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Histidine metabolism PAO1	2	227.0 261.0
Amino sugar and nucleotide sugar metabolism PAO1	Type VI secretion system	2	159.0 291.0
Glutamate/aspartate transport system	Putative polar amino acid transport system	2	177.0 288.0
Glyoxylate and dicarboxylate metabolism PAO1	Phenylalanine metabolism PAO1	2	149.0 201.0
Oxidative phosphorylation PAO1	Tryptophan metabolism PAO1	2	163.0 201.0
Pentose phosphate pathway PAO1	Valine, leucine and isoleucine degradation PAO1	2	61.0 230.0
NitT/TauT family transport system	Putative polar amino acid transport system	2	182.0 299.0
Dipeptide transport system	Styrene degradation PAO1	2	190.0 201.0
Flagellar assembly PAO1	Methane metabolism PAO1	2	76.0 187.0
Aminobenzoate degradation PAO1	Glyoxylate and dicarboxylate metabolism PAO1	2	158.0 190.0
Lipopolysaccharide biosynthesis PAO1	Terpenoid backbone biosynthesis PAO1	2	1.0 63.0
Ribosome, bacteria	Starch and sucrose metabolism PAO1	2	116.0 190.0
Starch and sucrose metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	190.0 242.0
Arginine and proline metabolism PAO1	Putrescine transport system	2	128.0 255.0
Protein export PAO1	Terpenoid backbone biosynthesis PAO1	2	1.0 63.0
Cysteine and methionine metabolism PAO1	Ribosome, bacteria	2	31.0 247.0
Alanine, aspartate and glutamate metabolism PAO1	Arginine and proline metabolism PAO1	2	245.0 282.0
Tryptophan metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	163.0 201.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	RNA degradation PAO1	2	21.0 293.0
Cyanoamino acid metabolism PAO1	Methane metabolism PAO1	2	152.0 282.0
Folate biosynthesis PAO1	One carbon pool by folate PAO1	2	1.0 161.0
Aminoacyl-tRNA biosynthesis PAO1	Ribosome, bacteria	2	0.0 31.0
Glutamate/aspartate transport system	Glyoxylate and dicarboxylate metabolism PAO1	2	102.0 157.0
Pyruvate metabolism PAO1	Type VI secretion system	2	173.0 179.0
Phenylalanine metabolism PAO1	Propanoate metabolism PAO1	2	149.0 201.0
Dipeptide transport system	Glycine, serine and threonine metabolism PAO1	2	151.0 227.0
D-Methionine transport system	Putative polar amino acid transport system	2	182.0 299.0
Glycine, serine and threonine metabolism PAO1	Hemophore/metalloprotease transport system	2	105.0 225.0
Amino sugar and nucleotide sugar metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	181.0 291.0
Methane metabolism PAO1	Quorum sensing PAO1	2	159.0 261.0
Alanine, aspartate and glutamate metabolism PAO1	Hemophore/metalloprotease transport system	2	105.0 225.0
Glyoxylate and dicarboxylate metabolism PAO1	Type II general secretion pathway	2	158.0 163.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Phospholipid transport system	2	193.0 228.0
Alanine, aspartate and glutamate metabolism PAO1	Phenylalanine metabolism PAO1	2	225.0 252.0
Type II general secretion pathway	Vanadium resistance, efflux pump MexGHI-OpmD	2	158.0 230.0
Cytochrome c oxidase, cbb3-type	Flagellar assembly PAO1	2	232.0 292.0
Benzoate degradation PAO1	Degradation of aromatic compounds PAO1	2	128.0 261.0
Cyanoamino acid metabolism PAO1	Cytochrome c oxidase, cbb3-type	2	146.0 291.0
Iron complex transport system	Peptidoglycan biosynthesis PAO1	2	176.0 251.0
Pyruvate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	61.0 173.0
Pentose phosphate pathway PAO1	Porphyrin and chlorophyll metabolism PAO1	2	230.0 297.0
Bacterial chemotaxis PAO1	Nitrogen metabolism PAO1	2	82.0 237.0
Citrate cycle (TCA cycle) PAO1	Propanoate metabolism PAO1	2	153.0 233.0
Sulfur metabolism PAO1	Type VI secretion system	2	177.0 280.0
Biotin metabolism PAO1	Peptidoglycan biosynthesis PAO1	2	176.0 251.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Dipeptide transport system	2	151.0 227.0
Arginine biosynthesis PAO1	Ribosome PAO1	2	12.0 86.0
Arginine biosynthesis PAO1	Fatty acid degradation PAO1	2	42.0 223.0
Bacterial secretion system PAO1	Ribosome PAO1	2	12.0 78.0
Oxidative phosphorylation PAO1	Propanoate metabolism PAO1	2	201.0 260.0
Aminobenzoate degradation PAO1	Citrate cycle (TCA cycle) PAO1	2	153.0 256.0
Amino sugar and nucleotide sugar metabolism PAO1	Quorum sensing PAO1	2	159.0 241.0
Arginine and proline metabolism PAO1	Methane metabolism PAO1	2	152.0 282.0
Benzoate degradation PAO1	Histidine metabolism PAO1	2	227.0 261.0
Aminoacyl-tRNA biosynthesis PAO1	Oxidative phosphorylation PAO1	2	0.0 31.0
Dipeptide transport system	Glutamate/aspartate transport system	2	198.0 255.0
Amino sugar and nucleotide sugar metabolism PAO1	Methane metabolism PAO1	2	53.0 159.0
Peptidoglycan biosynthesis PAO1	gamma-Hexachlorocyclohexane transport system	2	29.0 280.0
Pantothenate and CoA biosynthesis PAO1	Ribosome PAO1	2	18.0 34.0
Glycine, serine and threonine metabolism PAO1	Quorum sensing PAO1	2	151.0 159.0
Glycine, serine and threonine metabolism PAO1	One carbon pool by folate PAO1	2	224.0 297.0
Pentose phosphate pathway PAO1	Sulfur metabolism PAO1	2	84.0 299.0
Citrate cycle (TCA cycle) PAO1	Citrate cycle (TCA cycle, Krebs cycle)	2	8.0 150.0
Flagellar assembly PAO1	Nitrogen metabolism PAO1	2	189.0 237.0
Dipeptide transport system	Ribosome, bacteria	2	190.0 287.0
Butanoate metabolism PAO1	Propanoate metabolism PAO1	2	158.0 219.0
Glyoxylate and dicarboxylate metabolism PAO1	Oxidative phosphorylation PAO1	2	163.0 201.0
Bacterial chemotaxis PAO1	Methane metabolism PAO1	2	76.0 187.0
Ribosome, bacteria	Styrene degradation PAO1	2	39.0 190.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	2	128.0 130.0
Glycine, serine and threonine metabolism PAO1	Purine metabolism PAO1	2	15.0 297.0
Degradation of aromatic compounds PAO1	Flagellar assembly PAO1	2	24.0 130.0
Pantothenate and CoA biosynthesis PAO1	Ribosome, bacteria	2	18.0 34.0
Butanoate metabolism PAO1	Quorum sensing PAO1	2	158.0 219.0
Phosphate transport system	Tyrosine metabolism PAO1	2	121.0 214.0
Pentose phosphate pathway PAO1	Type III secretion system	2	119.0 175.0
Bacterial chemotaxis PAO1	Pyruvate metabolism PAO1	2	76.0 179.0
Quorum sensing PAO1	Styrene degradation PAO1	2	201.0 295.0
Macrolide resistance, MacAB-TolC transporter	Type VI secretion system	2	175.0 225.0
Glutamate/aspartate transport system	Ribosome, bacteria	2	150.0 177.0
Aminoacyl-tRNA biosynthesis, prokaryotes	Fatty acid biosynthesis PAO1	2	293.0 294.0
Arginine biosynthesis PAO1	beta-Lactam resistance PAO1	2	273.0 292.0
Glutamate/aspartate transport system	Type VI secretion system	2	177.0 220.0
Propanoate metabolism PAO1	Type III secretion system	2	119.0 175.0
Aminobenzoate degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	158.0 219.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	2	73.0 291.0
