feature	pathway	gene_signature_definition
9	Benzoate degradation PAO1	PA0228
9	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA4812;PA4811;PA2444;PA2446
9	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
9	Butanoate metabolism PAO1	PA5445
9	Phenazine biosynthesis PAO1	PA4217
9	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
9	Quorum sensing PAO1	PA0999;PA0997;PA4206;PA0998;PA1000;PA1001;PA3361;PA4207;PA0996
9	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA1179
9	Oxidative phosphorylation PAO1	PA0113;PA1856
9	Glycerolipid metabolism PAO1	PA3582
9	Type III secretion system	PA1719;PA1698;PA1701;PA1722;PA1695;PA1690;PA1697;PA1725;PA1723;PA1694;PA1716;PA1717;PA1693;PA1696;PA1692;PA1703
10	Pentose phosphate pathway PAO1	PA0330
10	Base excision repair PAO1	PA3495
10	Porphyrin and chlorophyll metabolism PAO1	PA2944
10	NitT/TauT family transport system	PA3512
10	Ribosome PAO1	PA4563
10	Bacterial chemotaxis PAO1	PA0176
10	CusS-CusR (copper tolerance) two-component regulatory system	PA1438
10	Vitamin B6 metabolism PAO1	PA1375
10	DNA replication PAO1	PA4931
10	Peptidoglycan biosynthesis PAO1	PA4415
10	Cysteine and methionine metabolism PAO1	PA0407
10	Spermidine/putrescine transport system	PA0204
10	Quorum sensing PAO1	PA4804
10	Purine metabolism PAO1	PA4645;PA5177;PA4971;PA3832
10	Lipopolysaccharide biosynthesis PAO1	PA3636
10	Cyanoamino acid metabolism PAO1	PA1726
10	Iron complex transport system	PA2914
11	Porphyrin and chlorophyll metabolism PAO1	PA1273;PA1923
11	Ribosome PAO1	PA3601;PA3600
11	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
11	Bacterial chemotaxis PAO1	PA1946
11	Benzoate degradation PAO1	PA0228
11	Aminobenzoate degradation PAO1	PA2514
11	Cysteine and methionine metabolism PAO1	PA3004
11	Styrene degradation PAO1	PA0227
11	Butanoate metabolism PAO1	PA5445
11	Zinc transport system	PA5498;PA5501;PA5500
11	Vancomycin resistance PAO1	PA5302
11	Putative ABC transport system	PA4065;PA4064
11	Quorum sensing PAO1	PA0999;PA0997;PA0998;PA1000;PA1001;PA5499
11	Purine metabolism PAO1	PA4969
11	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
11	Phenylalanine metabolism PAO1	PA0872;PA0865;PA5304;PA3366;PA0870
11	Pyrimidine metabolism PAO1	PA5541
11	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
11	Iron complex transport system	PA2912;PA2913
12	Arginine and proline metabolism PAO1	PA0782
12	Denitrification, nitrate => nitrogen	PA0523
12	Type VI secretion system	PA1657;PA0262
12	Phenazine biosynthesis PAO1	PA1002;PA0998;PA0997;PA1000;PA0996
12	Putative ABC transport system	PA4065;PA4064
12	Quorum sensing PAO1	PA0999;PA1001;PA4211
12	Nitrogen metabolism PAO1	PA3392;PA0524
12	Glutathione metabolism PAO1	PA2813
12	ABC-2 type transport system	PA2811
12	Phenylalanine metabolism PAO1	PA0865;PA5304;PA3366
12	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA1179
12	Oxidative phosphorylation PAO1	PA4133
12	Lipopolysaccharide biosynthesis PAO1	PA3337
12	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3555
12	Sulfur metabolism PAO1	PA0280;PA3446
12	Fatty acid biosynthesis PAO1	PA0494
13	Pentose phosphate pathway PAO1	PA0548
13	RNA degradation PAO1	PA5239
13	Ribosome PAO1	PA4260;PA4242;PA4741;PA4246;PA0579;PA4259;PA5316;PA4272;PA4240;PA4255;PA4254;PA4274;PA4239;PA4241
13	Aminobenzoate degradation PAO1	PA4901
13	Peptidoglycan biosynthesis PAO1	PA4450;PA4418
13	Multidrug resistance, efflux pump TriABC-TolC	PA0156
13	Cysteine and methionine metabolism PAO1	PA5013;PA0432;PA0546
13	Butanoate metabolism PAO1	PA4696
13	Phenazine biosynthesis PAO1	PA4217
13	Histidine metabolism PAO1	PA4449;PA5106
13	Ribosome, bacteria	PA4433;PA4257;PA4671;PA2970;PA4252;PA4256;PA5570;PA4251;PA4244;PA5315;PA4273;PA4267;PA4262;PA4245
13	Quorum sensing PAO1	PA3822;PA4211;PA5568;PA5128
13	Purine metabolism PAO1	PA4443;PA3686;PA4740;PA4670;PA5173;PA0387
13	Aminoacyl-tRNA biosynthesis, prokaryotes	PA0963;PA2744;PA3834
13	Aminoacyl-tRNA biosynthesis PAO1	PA5051
13	Pyrimidine metabolism PAO1	PA3637;PA3480
13	Citrate cycle (TCA cycle) PAO1	PA3416
13	Oxidative phosphorylation PAO1	PA5559;PA1581;PA4031;PA1583;PA5557;PA5560;PA1582;PA4430;PA1584
13	Lipopolysaccharide biosynthesis PAO1	PA3636
13	Terpenoid backbone biosynthesis PAO1	PA4669
13	Putrescine transport system	PA0303;PA0301
13	Glycolysis / Gluconeogenesis PAO1	PA4748
14	Pyruvate metabolism PAO1	PA0482;PA5192;PA3471
14	Lysine biosynthesis PAO1	PA5278
14	Fatty acid metabolism PAO1	PA1535;PA4389
14	Arginine biosynthesis PAO1	PA4402
14	Nicotinate and nicotinamide metabolism PAO1	PA2991
14	Geraniol degradation PAO1	PA2887
14	Glycine, serine and threonine metabolism PAO1	PA1326;PA4693
14	Sec (secretion) system	PA5128
14	Aminobenzoate degradation PAO1	PA4901
14	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA5237
14	beta-Alanine metabolism PAO1	PA3713
14	Cysteine and methionine metabolism PAO1	PA0546
14	Bacterial secretion system PAO1	PA3822
14	D-Methionine transport system	PA5505
14	dTDP-L-rhamnose biosynthesis	PA4069
14	Purine metabolism PAO1	PA1013
14	Aminoacyl-tRNA biosynthesis, prokaryotes	PA3482;PA3834
14	Protein export PAO1	PA3746;PA4403
14	Aminoacyl-tRNA biosynthesis PAO1	PA2744;PA2740
14	Pyrimidine metabolism PAO1	PA4740;PA4758;PA0401;PA3527
14	Oxidative phosphorylation PAO1	PA4430;PA5555
15	One carbon pool by folate PAO1	PA5228
15	Lysine biosynthesis PAO1	PA3659
15	Pentose phosphate pathway PAO1	PA0548
15	Putative sorbitol/mannitol transport system	PA3187
15	beta-Lactam resistance PAO1	PA5514
15	Homologous recombination PAO1	PA4283;PA5493;PA3725
15	Glycerophospholipid metabolism PAO1	PA2536
15	Multidrug resistance, efflux pump TriABC-TolC	PA0157
15	Cysteine and methionine metabolism PAO1	PA1292
15	Histidine metabolism PAO1	PA5066
15	Folate biosynthesis PAO1	PA2806
15	Glycine betaine/proline transport system	PA0030
15	Purine metabolism PAO1	PA4969;PA3217
15	Lipopolysaccharide biosynthesis PAO1	PA4988
15	Microcin C transport system	PA2059
15	Methane metabolism PAO1	PA4812
15	D-Glutamine and D-glutamate metabolism PAO1	PA4662
15	Pantothenate and CoA biosynthesis PAO1	PA1598
15	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3310
16	Pyruvate metabolism PAO1	PA1217
16	Fatty acid metabolism PAO1	PA3333
16	Cytochrome c oxidase, cbb3-type	PA4133
16	Type VI secretion system	PA1667;PA1657;PA1661;PA1669;PA1659;PA1666;PA1658;PA1668;PA1656;PA1662;PA1660
16	Bacterial secretion system PAO1	PA4144;PA1670
16	Phenazine biosynthesis PAO1	PA4209;PA4217
16	Quorum sensing PAO1	PA3476;PA1002;PA0999;PA0997;PA1130;PA1901;PA3724;PA0998;PA1902;PA1905;PA1000;PA1001;PA2570;PA3361;PA1904;PA1903;PA0996;PA4211;PA3478;PA3479
16	ABC-2 type transport system	PA2811
16	Sulfur metabolism PAO1	PA4130
16	Cyanoamino acid metabolism PAO1	PA2193;PA2194;PA2195
16	Putrescine transport system	PA2592
17	Arginine biosynthesis PAO1	PA5171
17	Denitrification, nitrate => nitrogen	PA1174
17	Valine, leucine and isoleucine degradation PAO1	PA3570;PA0747;PA3418;PA2015;PA2550
17	Tyrosine metabolism PAO1	PA2008;PA0865;PA2009
17	Porphyrin and chlorophyll metabolism PAO1	PA2906;PA1277;PA1280
17	Bacterial chemotaxis PAO1	PA2573;PA4500;PA0177;PA0179
17	Type VI secretion system	PA2365
17	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
17	Thiamine metabolism PAO1	PA5118
17	Butanoate metabolism PAO1	PA5058
17	Putative ABC transport system	PA0072
17	Putative polar amino acid transport system	PA5153
17	Spermidine/putrescine transport system	PA3607;PA3609;PA3610;PA3608
17	Quorum sensing PAO1	PA4211;PA3477;PA3479;PA1905
17	Purine metabolism PAO1	PA4645
17	Oxidative phosphorylation PAO1	PA0106;PA0108;PA0105;PA0107
17	Lipopolysaccharide biosynthesis PAO1	PA3337
17	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
18	Pyruvate metabolism PAO1	PA5046;PA0954
18	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA1587
18	Arginine and proline metabolism PAO1	PA4007
18	RNA degradation PAO1	PA4385;PA0428;PA4937;PA2976;PA0336
18	Porphyrin and chlorophyll metabolism PAO1	PA2907
18	Ribosome PAO1	PA4260;PA4568;PA4246;PA4257;PA0579;PA4259;PA4256;PA4251;PA4249;PA4240;PA4239;PA4271;PA4261;PA4262;PA4264;PA4247;PA4935
18	Aminoglycoside resistance, protease FtsH	PA4751
18	Histidine metabolism PAO1	PA5067;PA5066
18	Glyoxylate and dicarboxylate metabolism PAO1	PA5119
18	DNA replication PAO1	PA4232
18	Peptidoglycan biosynthesis PAO1	PA3999
18	Flagellar assembly PAO1	PA3351;PA1092
18	Ribosome, bacteria	PA4433;PA4242;PA4258;PA4272;PA4253;PA4245;PA4263;PA4274;PA4254;PA4273;PA4267;PA2742;PA4248
18	Quorum sensing PAO1	PA1303
18	Purine metabolism PAO1	PA3807
18	Citrate cycle (TCA cycle) PAO1	PA1588
18	Oxidative phosphorylation PAO1	PA5559;PA5556;PA5554;PA1582;PA5558
18	Glycolysis / Gluconeogenesis PAO1	PA3001
19	One carbon pool by folate PAO1	PA5420
19	Pentose phosphate pathway PAO1	PA3194
19	Degradation of aromatic compounds PAO1	PA4092;PA2508
19	Porphyrin and chlorophyll metabolism PAO1	PA1279
19	beta-Lactam resistance PAO1	PA4418;PA2018
19	Ribosome PAO1	PA3600
19	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
19	Benzoate degradation PAO1	PA0228
19	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
19	Styrene degradation PAO1	PA0227
19	Histidine metabolism PAO1	PA5100
19	Glycine betaine/proline transport system	PA3236;PA5096;PA5094
19	Putative polar amino acid transport system	PA4193
19	Spermidine/putrescine transport system	PA0323
19	Quorum sensing PAO1	PA4910;PA4912;PA1902
19	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4228
19	Phenylalanine metabolism PAO1	PA5304
19	Chloroalkane and chloroalkene degradation PAO1	PA1982
19	Pyrimidine metabolism PAO1	PA4646
19	Oxidative phosphorylation PAO1	PA1317;PA1856
19	Methane metabolism PAO1	PA3628;PA3629;PA5421
19	Glycine, serine and threonine metabolism PAO1	PA5379;PA5416;PA5417;PA5415
19	Sulfur metabolism PAO1	PA0193;PA4443;PA2105
19	Putative sorbitol/mannitol transport system	PA3187
19	Histidine degradation, histidine => N-formiminoglutamate => glutamate	PA5098
19	Glycolysis / Gluconeogenesis PAO1	PA3195
20	Pyruvate metabolism PAO1	PA0835;PA5435;PA0836
20	Iron(III) transport system	PA4687;PA5217
20	Arginine biosynthesis PAO1	PA5171;PA5172
20	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA3531
20	Glycolysis / Gluconeogenesis PAO1	PA5427
20	Type VI secretion system	PA1668;PA1661;PA1657;PA1659;PA1660
20	Aminobenzoate degradation PAO1	PA2514;PA2513
20	Glyoxylate and dicarboxylate metabolism PAO1	PA4613
20	Vitamin B6 metabolism PAO1	PA1049
20	Glycerophospholipid metabolism PAO1	PA4351
20	Flagellar assembly PAO1	PA1461
20	Purine metabolism PAO1	PA5497
20	Nitrogen metabolism PAO1	PA0524;PA0523;PA3392;PA3874;PA5173;PA3875;PA3877;PA0519;PA3872
20	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
20	ABC-2 type transport system	PA5230
20	Oxidative phosphorylation PAO1	PA1555;PA1317;PA1557;PA4430;PA1319;PA1318;PA1320;PA4429;PA1556
20	Lipopolysaccharide biosynthesis PAO1	PA3337
20	Putative spermidine/putrescine transport system	PA0295
20	Sulfur metabolism PAO1	PA0518
20	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
20	Cyanoamino acid metabolism PAO1	PA2193;PA2194;PA2195
21	Pyruvate metabolism PAO1	PA5435;PA4771
21	Fatty acid metabolism PAO1	PA3333
21	Multidrug resistance, efflux pump MexPQ-OpmE	PA3523;PA3522
21	Arginine and proline metabolism PAO1	PA0898;PA0899;PA0897
21	Valine, leucine and isoleucine degradation PAO1	PA1737;PA2247;PA2553;PA2014;PA2248;PA2000;PA1736;PA2249;PA2250;PA2012
21	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
21	Benzoate degradation PAO1	PA2507;PA0228;PA2508;PA2509
21	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
21	Glyoxylate and dicarboxylate metabolism PAO1	PA4811;PA4810;PA2446
21	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA1224
21	Vanadium resistance, efflux pump MexGHI-OpmD	PA4208
21	Butanoate metabolism PAO1	PA0227;PA0226
21	Amino sugar and nucleotide sugar metabolism PAO1	PA3540;PA0597
21	Putative ABC transport system	PA2857
21	Purine metabolism PAO1	PA4443;PA3516;PA3517;PA4442
21	Glutathione metabolism PAO1	PA2813
21	ABC-2 type transport system	PA2812;PA2811
21	Sulfur metabolism PAO1	PA0281;PA3446
21	Glycerolipid metabolism PAO1	PA3582
22	Pyruvate metabolism PAO1	PA3415;PA3417
22	Porphyrin and chlorophyll metabolism PAO1	PA0510
22	Glycine, serine and threonine metabolism PAO1	PA5213;PA2446
22	Bacterial chemotaxis PAO1	PA0180;PA1930;PA4290;PA0175
22	Propanoate metabolism PAO1	PA3568
22	Aminobenzoate degradation PAO1	PA2514;PA0704
22	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
22	Bacterial secretion system PAO1	PA2373;PA2367
22	Flagellar assembly PAO1	PA1092
22	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA3346
22	Quorum sensing PAO1	PA1874;PA2570;PA1871;PA3250
22	Nitrogen metabolism PAO1	PA3392
22	Pyrimidine metabolism PAO1	PA4646
22	Oxidative phosphorylation PAO1	PA0107;PA0106;PA0108;PA0105;PA0113;PA0112
22	Sulfur metabolism PAO1	PA2566
22	Glycolysis / Gluconeogenesis PAO1	PA3416
23	One carbon pool by folate PAO1	PA0018
23	Arginine biosynthesis PAO1	PA5171;PA5172
23	Arginine and proline metabolism PAO1	PA3713
23	Valine, leucine and isoleucine degradation PAO1	PA3418
23	Porphyrin and chlorophyll metabolism PAO1	PA4880
23	Bacterial chemotaxis PAO1	PA2573;PA0179
23	Fatty acid degradation PAO1	PA2815
23	Glyoxylate and dicarboxylate metabolism PAO1	PA4236;PA1562
23	Alanine, aspartate and glutamate metabolism PAO1	PA3459
23	D-Methionine transport system	PA5503
23	Fructose and mannose metabolism PAO1	PA3551
23	Spermidine/putrescine transport system	PA3607;PA3609;PA3610;PA3608
23	Quorum sensing PAO1	PA2569
23	Purine metabolism PAO1	PA4645
23	Nitrogen metabolism PAO1	PA0102
23	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA0766;PA1249
24	Pyruvate metabolism PAO1	PA4771
24	Arginine and proline metabolism PAO1	PA4773
24	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	PA3181
24	Valine, leucine and isoleucine degradation PAO1	PA3569;PA3570;PA2248
24	Homologous recombination PAO1	PA3617
24	Glycerophospholipid metabolism PAO1	PA3584
24	Cysteine and methionine metabolism PAO1	PA4774
24	Bacterial secretion system PAO1	PA2685
24	Histidine metabolism PAO1	PA5100
24	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
24	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3556
24	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3555;PA3558
24	Glycerolipid metabolism PAO1	PA3582
25	Arginine biosynthesis PAO1	PA4867;PA5508
25	Cysteine biosynthesis, serine => cysteine	PA2105
25	Type II general secretion pathway	PA0679
25	Ribosome PAO1	PA4252;PA4254
25	Multidrug resistance, efflux pump MexAB-OprM	PA4375
25	Histidine metabolism PAO1	PA3151;PA3152
25	Butanoate metabolism PAO1	PA3506
25	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3156
25	Purine metabolism PAO1	PA4238
25	Oxidative phosphorylation PAO1	PA5555
26	Pyruvate metabolism PAO1	PA0494;PA1217;PA1984;PA2555;PA4733
26	Thiamine metabolism PAO1	PA4973
26	Nicotinate and nicotinamide metabolism PAO1	PA3088
26	Geraniol degradation PAO1	PA2889;PA2887
26	Glycine, serine and threonine metabolism PAO1	PA5416;PA3710;PA5417
26	Valine, leucine and isoleucine degradation PAO1	PA2553;PA2014;PA2011;PA2000;PA4899;PA1999;PA3569;PA3570
26	Tyrosine metabolism PAO1	PA2008;PA0865;PA2007;PA2009
